Depth_meter,Area_meterSquared
0,109249
0.1,109249
0.2,109249
0.3,109051.3
0.4,108655.9
0.5,108260.5
0.6,107865.1
0.7,107469.7
0.8,106981.1
0.9,106399.3
1,105817.5
1.1,105235.7
1.2,104653.9
1.3,103998.2
1.4,103268.6
1.5,102539
1.6,101809.4
1.7,101079.8
1.8,100150.2
1.9,99020.6
2,97891
2.1,96761.4
2.2,95631.8
2.3,93880.3
2.4,91506.9
2.5,89133.5
2.6,86760.1
2.7,84386.7
2.8,81639.2
2.9,78517.6
3,75396
3.1,72274.4
3.2,69152.8
3.3,66155.8
3.4,63283.4
3.5,60411
3.6,57538.6
3.7,54666.2
3.8,50848.8
3.9,46086.4
4,41324
4.1,36561.6
4.2,31799.2
4.3,27453.9
4.4,23525.7
4.5,19597.5
4.6,15669.3
4.7,11741.1
4.8,9060.4
4.9,7627.2
5,6194
5.1,4760.8
5.2,3327.6
5.3,2611
5.4,2611
5.5,2611
